{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.005600000000000002, 'use_idf': True, 'count': 24, 'score': 0.794237690479313}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.005800000000000002, 'use_idf': True, 'count': 25, 'score': 0.7942376980613552}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.006000000000000003, 'use_idf': True, 'count': 26, 'score': 0.7943131166459737}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.006200000000000002, 'use_idf': True, 'count': 27, 'score': 0.7942376771997254}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.006400000000000002, 'use_idf': True, 'count': 28, 'score': 0.7942879632100143}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0066000000000000026, 'use_idf': True, 'count': 29, 'score': 0.7942879707920566}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.006800000000000003, 'use_idf': True, 'count': 30, 'score': 0.7942879632100143}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.007000000000000003, 'use_idf': True, 'count': 31, 'score': 0.7942376828972707}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.007200000000000002, 'use_idf': True, 'count': 32, 'score': 0.7943130825047563}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.007400000000000003, 'use_idf': True, 'count': 33, 'score': 0.7942125370433537}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0076000000000000035, 'use_idf': True, 'count': 34, 'score': 0.7942376828972707}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.007800000000000003, 'use_idf': True, 'count': 35, 'score': 0.7942879499304268}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.008000000000000004, 'use_idf': True, 'count': 36, 'score': 0.7942879632100143}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.008200000000000002, 'use_idf': True, 'count': 37, 'score': 0.7942376980613552}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.008400000000000005, 'use_idf': True, 'count': 38, 'score': 0.7942628173560972}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.008600000000000003, 'use_idf': True, 'count': 39, 'score': 0.7943382359407156}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.008800000000000002, 'use_idf': True, 'count': 40, 'score': 0.7942879423483845}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.009000000000000005, 'use_idf': True, 'count': 41, 'score': 0.794313103366386}
